name,type,franchise,brand,year,condition,acquired,cost,value,notes,isSold,soldDate,soldPrice,ebayListed,ebaySold
Mutagen Man,Action Figures,Teenage Mutant Ninja Turtles,Super7,1990,Used - complete,17/01/21,£0,,,FALSE,,,,
Generations Deluxe Headmasters Retro Action Figure: Chromedome,Action Figures,Transformers,Hasbro,2021,Used - complete,20/01/21,£0,,,FALSE,,,,
G1 Brainstorm,Action Figures,Transformers,Hasbro,1987,Used - complete,20/01/21,£84,,,FALSE,,,,
G1 Brainstorm Arcana Headmasters Box Only (Cut Token),Action Figures,Transformers,Hasbro,1987,Used - complete,20/01/21,£36,,,FALSE,,,,
Vintage G1 Headmaster Chromedome Boxed,Action Figures,Transformers,Hasbro,1987,Used - complete,23/01/21,£117,,,FALSE,,,,
G1 Powermaster Dreadwind with Box,Action Figures,Transformers,Hasbro,1987,Used - complete,04/02/21,£115,,,FALSE,,,,
G1 Powermaster Darkwing with Box,Action Figures,Transformers,Hasbro,1987,Used - complete,04/02/21,£98,,,FALSE,,,,
"G1 Scorponok Ramps, Shield, Cannons, Parts, Headmaster",Action Figures,Transformers,Hasbro,1987,Used - complete,11/02/21,£23,,,FALSE,,,,
G1 1980's Power Master Joyride,Action Figures,Transformers,Hasbro,1987,Used - complete,20/02/21,£35,,,FALSE,,,,
Generations Deluxe Headmasters Retro Action Figure: Skullcruncher,Action Figures,Transformers,Hasbro,2021,Used - complete,24/06/21,£22,,,FALSE,,,,
Skeletor Origins,Action Figures,Masters of the Universe,Mattel,1985,Used - complete,24/07/21,£16,,,FALSE,,,,
Dwarf Flame Cannon,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,28/06/21,£85,,,FALSE,,,,
"Orcs & Goblins ""Orc Rock Lobber""",Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,27/06/21,£91,,,FALSE,,,,
SKAVEN Ratman Plague Monks BLISTER,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,23/06/21,£29,,,FALSE,,,,
Skaven Screaming Bell,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,05/07/21,£95,,,FALSE,,,,
High Elf Battle Chariot MIB sealed,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,07/07/21,£41,,,TRUE,15/04/24,53,,
